Internal event: system time 10:46:41, logical clock time 1
Received a message: system time 10:46:42, logical clock time 3, remaining message queue size 1
Received a message: system time 10:46:43, logical clock time 6, remaining message queue size 1
Received a message: system time 10:46:44, logical clock time 9, remaining message queue size 2
Received a message: system time 10:46:45, logical clock time 16, remaining message queue size 4
Received a message: system time 10:46:46, logical clock time 18, remaining message queue size 7
Received a message: system time 10:46:47, logical clock time 20, remaining message queue size 10
Received a message: system time 10:46:48, logical clock time 21, remaining message queue size 10
Received a message: system time 10:46:49, logical clock time 24, remaining message queue size 9
Received a message: system time 10:46:50, logical clock time 27, remaining message queue size 9
Received a message: system time 10:46:51, logical clock time 28, remaining message queue size 9
Received a message: system time 10:46:52, logical clock time 30, remaining message queue size 9
Received a message: system time 10:46:53, logical clock time 31, remaining message queue size 8
Received a message: system time 10:46:54, logical clock time 32, remaining message queue size 7
Received a message: system time 10:46:55, logical clock time 33, remaining message queue size 7
Received a message: system time 10:46:56, logical clock time 34, remaining message queue size 7
Received a message: system time 10:46:57, logical clock time 35, remaining message queue size 8
Received a message: system time 10:46:58, logical clock time 39, remaining message queue size 8
Received a message: system time 10:46:59, logical clock time 54, remaining message queue size 8
Received a message: system time 10:47:00, logical clock time 58, remaining message queue size 9
Received a message: system time 10:47:01, logical clock time 65, remaining message queue size 9
Received a message: system time 10:47:02, logical clock time 81, remaining message queue size 10
Received a message: system time 10:47:03, logical clock time 88, remaining message queue size 11
Received a message: system time 10:47:04, logical clock time 90, remaining message queue size 11
Received a message: system time 10:47:05, logical clock time 96, remaining message queue size 13
Received a message: system time 10:47:06, logical clock time 97, remaining message queue size 13
Received a message: system time 10:47:07, logical clock time 103, remaining message queue size 13
Received a message: system time 10:47:08, logical clock time 107, remaining message queue size 13
Received a message: system time 10:47:09, logical clock time 114, remaining message queue size 13
Received a message: system time 10:47:10, logical clock time 119, remaining message queue size 13
Received a message: system time 10:47:11, logical clock time 120, remaining message queue size 14
Received a message: system time 10:47:12, logical clock time 125, remaining message queue size 14
Received a message: system time 10:47:13, logical clock time 127, remaining message queue size 15
Received a message: system time 10:47:14, logical clock time 128, remaining message queue size 16
Received a message: system time 10:47:15, logical clock time 135, remaining message queue size 16
Received a message: system time 10:47:16, logical clock time 141, remaining message queue size 17
Received a message: system time 10:47:17, logical clock time 143, remaining message queue size 20
Received a message: system time 10:47:18, logical clock time 144, remaining message queue size 22
Received a message: system time 10:47:19, logical clock time 147, remaining message queue size 22
Received a message: system time 10:47:20, logical clock time 155, remaining message queue size 21
Received a message: system time 10:47:21, logical clock time 162, remaining message queue size 22
Received a message: system time 10:47:22, logical clock time 166, remaining message queue size 22
Received a message: system time 10:47:23, logical clock time 169, remaining message queue size 22
Received a message: system time 10:47:24, logical clock time 176, remaining message queue size 23
Received a message: system time 10:47:25, logical clock time 177, remaining message queue size 23
Received a message: system time 10:47:26, logical clock time 179, remaining message queue size 23
Received a message: system time 10:47:27, logical clock time 187, remaining message queue size 23
Received a message: system time 10:47:28, logical clock time 191, remaining message queue size 23
Received a message: system time 10:47:29, logical clock time 193, remaining message queue size 23
Received a message: system time 10:47:30, logical clock time 194, remaining message queue size 24
Received a message: system time 10:47:31, logical clock time 202, remaining message queue size 24
Received a message: system time 10:47:32, logical clock time 208, remaining message queue size 24
Received a message: system time 10:47:33, logical clock time 209, remaining message queue size 24
Received a message: system time 10:47:34, logical clock time 210, remaining message queue size 26
Received a message: system time 10:47:35, logical clock time 211, remaining message queue size 26
Received a message: system time 10:47:36, logical clock time 212, remaining message queue size 25
Received a message: system time 10:47:37, logical clock time 214, remaining message queue size 26
Received a message: system time 10:47:38, logical clock time 216, remaining message queue size 26
Received a message: system time 10:47:39, logical clock time 218, remaining message queue size 26
Received a message: system time 10:47:40, logical clock time 219, remaining message queue size 26
Received a message: system time 10:47:41, logical clock time 220, remaining message queue size 28
Received a message: system time 10:47:42, logical clock time 234, remaining message queue size 28
