Sent a message: system time 10:54:19, logical clock time 1
Sent a message: system time 10:54:19, logical clock time 1
Internal event: system time 10:54:20, logical clock time 2
Received a message: system time 10:54:21, logical clock time 7, remaining message queue size 0
Sent a message: system time 10:54:22, logical clock time 8
Internal event: system time 10:54:23, logical clock time 9
Received a message: system time 10:54:24, logical clock time 20, remaining message queue size 1
Received a message: system time 10:54:25, logical clock time 22, remaining message queue size 3
Received a message: system time 10:54:26, logical clock time 23, remaining message queue size 3
Received a message: system time 10:54:27, logical clock time 24, remaining message queue size 2
Received a message: system time 10:54:28, logical clock time 25, remaining message queue size 2
Received a message: system time 10:54:29, logical clock time 28, remaining message queue size 1
Received a message: system time 10:54:30, logical clock time 37, remaining message queue size 0
Received a message: system time 10:54:31, logical clock time 48, remaining message queue size 1
Received a message: system time 10:54:32, logical clock time 50, remaining message queue size 0
Received a message: system time 10:54:33, logical clock time 57, remaining message queue size 0
Received a message: system time 10:54:34, logical clock time 62, remaining message queue size 0
Received a message: system time 10:54:35, logical clock time 63, remaining message queue size 1
Received a message: system time 10:54:36, logical clock time 66, remaining message queue size 3
Received a message: system time 10:54:37, logical clock time 67, remaining message queue size 2
Received a message: system time 10:54:38, logical clock time 68, remaining message queue size 1
Received a message: system time 10:54:39, logical clock time 69, remaining message queue size 0
Received a message: system time 10:54:40, logical clock time 84, remaining message queue size 0
Received a message: system time 10:54:41, logical clock time 86, remaining message queue size 2
Received a message: system time 10:54:42, logical clock time 88, remaining message queue size 1
Received a message: system time 10:54:43, logical clock time 89, remaining message queue size 1
Received a message: system time 10:54:44, logical clock time 95, remaining message queue size 1
Received a message: system time 10:54:45, logical clock time 99, remaining message queue size 2
Received a message: system time 10:54:46, logical clock time 104, remaining message queue size 1
Received a message: system time 10:54:47, logical clock time 105, remaining message queue size 1
Received a message: system time 10:54:48, logical clock time 109, remaining message queue size 3
Received a message: system time 10:54:49, logical clock time 115, remaining message queue size 2
Received a message: system time 10:54:50, logical clock time 117, remaining message queue size 1
Received a message: system time 10:54:51, logical clock time 118, remaining message queue size 1
Received a message: system time 10:54:52, logical clock time 125, remaining message queue size 0
Received a message: system time 10:54:53, logical clock time 136, remaining message queue size 1
Received a message: system time 10:54:54, logical clock time 138, remaining message queue size 1
Received a message: system time 10:54:55, logical clock time 142, remaining message queue size 0
Internal event: system time 10:54:56, logical clock time 143
Received a message: system time 10:54:57, logical clock time 154, remaining message queue size 0
Received a message: system time 10:54:58, logical clock time 158, remaining message queue size 0
Received a message: system time 10:54:59, logical clock time 159, remaining message queue size 1
Received a message: system time 10:55:00, logical clock time 160, remaining message queue size 0
Received a message: system time 10:55:01, logical clock time 167, remaining message queue size 0
Received a message: system time 10:55:02, logical clock time 170, remaining message queue size 3
Received a message: system time 10:55:03, logical clock time 171, remaining message queue size 3
Received a message: system time 10:55:04, logical clock time 172, remaining message queue size 2
Received a message: system time 10:55:05, logical clock time 173, remaining message queue size 2
Received a message: system time 10:55:06, logical clock time 175, remaining message queue size 2
Received a message: system time 10:55:07, logical clock time 184, remaining message queue size 2
Received a message: system time 10:55:08, logical clock time 187, remaining message queue size 3
Received a message: system time 10:55:09, logical clock time 190, remaining message queue size 2
Received a message: system time 10:55:10, logical clock time 192, remaining message queue size 2
Received a message: system time 10:55:11, logical clock time 195, remaining message queue size 3
Received a message: system time 10:55:12, logical clock time 203, remaining message queue size 2
Received a message: system time 10:55:13, logical clock time 206, remaining message queue size 2
Received a message: system time 10:55:14, logical clock time 207, remaining message queue size 1
Received a message: system time 10:55:15, logical clock time 209, remaining message queue size 0
Received a message: system time 10:55:16, logical clock time 226, remaining message queue size 1
Received a message: system time 10:55:17, logical clock time 228, remaining message queue size 2
Received a message: system time 10:55:18, logical clock time 231, remaining message queue size 1
Received a message: system time 10:55:19, logical clock time 232, remaining message queue size 3
Received a message: system time 10:55:20, logical clock time 236, remaining message queue size 3
Received a message: system time 10:55:21, logical clock time 238, remaining message queue size 2
Received a message: system time 10:55:22, logical clock time 239, remaining message queue size 3
