Sent a message: system time 10:56:34, logical clock time 1
Received a message: system time 10:56:35, logical clock time 7, remaining message queue size 0
Received a message: system time 10:56:36, logical clock time 10, remaining message queue size 1
Received a message: system time 10:56:37, logical clock time 11, remaining message queue size 2
Received a message: system time 10:56:38, logical clock time 17, remaining message queue size 3
Received a message: system time 10:56:39, logical clock time 19, remaining message queue size 2
Received a message: system time 10:56:40, logical clock time 20, remaining message queue size 2
Received a message: system time 10:56:41, logical clock time 21, remaining message queue size 1
Received a message: system time 10:56:42, logical clock time 37, remaining message queue size 1
Received a message: system time 10:56:43, logical clock time 49, remaining message queue size 1
Received a message: system time 10:56:44, logical clock time 50, remaining message queue size 1
Received a message: system time 10:56:45, logical clock time 57, remaining message queue size 3
Received a message: system time 10:56:46, logical clock time 65, remaining message queue size 3
Received a message: system time 10:56:47, logical clock time 66, remaining message queue size 3
Received a message: system time 10:56:48, logical clock time 67, remaining message queue size 2
Received a message: system time 10:56:49, logical clock time 73, remaining message queue size 2
Received a message: system time 10:56:50, logical clock time 74, remaining message queue size 3
Received a message: system time 10:56:51, logical clock time 90, remaining message queue size 4
Received a message: system time 10:56:52, logical clock time 91, remaining message queue size 4
Received a message: system time 10:56:53, logical clock time 93, remaining message queue size 5
Received a message: system time 10:56:54, logical clock time 98, remaining message queue size 4
Received a message: system time 10:56:55, logical clock time 100, remaining message queue size 4
Received a message: system time 10:56:56, logical clock time 107, remaining message queue size 5
Received a message: system time 10:56:57, logical clock time 109, remaining message queue size 6
Received a message: system time 10:56:58, logical clock time 113, remaining message queue size 8
Received a message: system time 10:56:59, logical clock time 122, remaining message queue size 9
Received a message: system time 10:57:00, logical clock time 125, remaining message queue size 8
Received a message: system time 10:57:01, logical clock time 131, remaining message queue size 7
Received a message: system time 10:57:02, logical clock time 133, remaining message queue size 6
Received a message: system time 10:57:03, logical clock time 136, remaining message queue size 7
Received a message: system time 10:57:04, logical clock time 140, remaining message queue size 8
Received a message: system time 10:57:05, logical clock time 141, remaining message queue size 8
Received a message: system time 10:57:06, logical clock time 143, remaining message queue size 7
Received a message: system time 10:57:07, logical clock time 145, remaining message queue size 8
Received a message: system time 10:57:08, logical clock time 149, remaining message queue size 8
Received a message: system time 10:57:09, logical clock time 170, remaining message queue size 8
Received a message: system time 10:57:10, logical clock time 171, remaining message queue size 8
Received a message: system time 10:57:11, logical clock time 175, remaining message queue size 7
Received a message: system time 10:57:12, logical clock time 176, remaining message queue size 9
Received a message: system time 10:57:13, logical clock time 183, remaining message queue size 8
Received a message: system time 10:57:14, logical clock time 195, remaining message queue size 7
Received a message: system time 10:57:15, logical clock time 197, remaining message queue size 10
Received a message: system time 10:57:16, logical clock time 200, remaining message queue size 10
Received a message: system time 10:57:17, logical clock time 206, remaining message queue size 11
Received a message: system time 10:57:18, logical clock time 210, remaining message queue size 11
Received a message: system time 10:57:19, logical clock time 224, remaining message queue size 12
Received a message: system time 10:57:20, logical clock time 226, remaining message queue size 13
Received a message: system time 10:57:21, logical clock time 227, remaining message queue size 14
Received a message: system time 10:57:22, logical clock time 239, remaining message queue size 14
Received a message: system time 10:57:23, logical clock time 242, remaining message queue size 15
Received a message: system time 10:57:24, logical clock time 243, remaining message queue size 14
Received a message: system time 10:57:25, logical clock time 244, remaining message queue size 16
Received a message: system time 10:57:26, logical clock time 250, remaining message queue size 16
Received a message: system time 10:57:27, logical clock time 251, remaining message queue size 16
Received a message: system time 10:57:28, logical clock time 256, remaining message queue size 17
Received a message: system time 10:57:29, logical clock time 257, remaining message queue size 16
Received a message: system time 10:57:30, logical clock time 266, remaining message queue size 16
Received a message: system time 10:57:31, logical clock time 267, remaining message queue size 17
Received a message: system time 10:57:32, logical clock time 271, remaining message queue size 16
Received a message: system time 10:57:33, logical clock time 272, remaining message queue size 15
Received a message: system time 10:57:34, logical clock time 275, remaining message queue size 15
Received a message: system time 10:57:35, logical clock time 277, remaining message queue size 14
