Sent a message: system time 11:20:15, logical clock time 1
Received a message: system time 11:20:16, logical clock time 5, remaining message queue size 0
Received a message: system time 11:20:17, logical clock time 11, remaining message queue size 0
Received a message: system time 11:20:18, logical clock time 17, remaining message queue size 2
Received a message: system time 11:20:19, logical clock time 19, remaining message queue size 4
Received a message: system time 11:20:20, logical clock time 20, remaining message queue size 7
Received a message: system time 11:20:21, logical clock time 22, remaining message queue size 9
Received a message: system time 11:20:22, logical clock time 23, remaining message queue size 10
Received a message: system time 11:20:23, logical clock time 25, remaining message queue size 12
Received a message: system time 11:20:24, logical clock time 31, remaining message queue size 12
Received a message: system time 11:20:25, logical clock time 32, remaining message queue size 12
Received a message: system time 11:20:26, logical clock time 33, remaining message queue size 15
Received a message: system time 11:20:27, logical clock time 34, remaining message queue size 15
Received a message: system time 11:20:28, logical clock time 36, remaining message queue size 15
Received a message: system time 11:20:29, logical clock time 37, remaining message queue size 16
Received a message: system time 11:20:30, logical clock time 38, remaining message queue size 22
Received a message: system time 11:20:31, logical clock time 44, remaining message queue size 22
Received a message: system time 11:20:32, logical clock time 46, remaining message queue size 26
Received a message: system time 11:20:33, logical clock time 49, remaining message queue size 27
Received a message: system time 11:20:34, logical clock time 51, remaining message queue size 26
Received a message: system time 11:20:35, logical clock time 54, remaining message queue size 28
Received a message: system time 11:20:36, logical clock time 55, remaining message queue size 30
Received a message: system time 11:20:37, logical clock time 63, remaining message queue size 30
Received a message: system time 11:20:38, logical clock time 68, remaining message queue size 33
Received a message: system time 11:20:39, logical clock time 70, remaining message queue size 34
Received a message: system time 11:20:40, logical clock time 71, remaining message queue size 37
Received a message: system time 11:20:41, logical clock time 72, remaining message queue size 39
Received a message: system time 11:20:42, logical clock time 79, remaining message queue size 40
Received a message: system time 11:20:43, logical clock time 84, remaining message queue size 42
Received a message: system time 11:20:44, logical clock time 91, remaining message queue size 46
Received a message: system time 11:20:45, logical clock time 93, remaining message queue size 49
Received a message: system time 11:20:46, logical clock time 94, remaining message queue size 49
Received a message: system time 11:20:47, logical clock time 95, remaining message queue size 52
Received a message: system time 11:20:48, logical clock time 96, remaining message queue size 54
Received a message: system time 11:20:49, logical clock time 97, remaining message queue size 55
Received a message: system time 11:20:50, logical clock time 98, remaining message queue size 60
Received a message: system time 11:20:51, logical clock time 99, remaining message queue size 60
Received a message: system time 11:20:52, logical clock time 100, remaining message queue size 62
Received a message: system time 11:20:53, logical clock time 102, remaining message queue size 64
Received a message: system time 11:20:54, logical clock time 107, remaining message queue size 67
Received a message: system time 11:20:55, logical clock time 108, remaining message queue size 71
Received a message: system time 11:20:56, logical clock time 109, remaining message queue size 72
Received a message: system time 11:20:57, logical clock time 110, remaining message queue size 73
Received a message: system time 11:20:58, logical clock time 112, remaining message queue size 77
Received a message: system time 11:20:59, logical clock time 116, remaining message queue size 79
Received a message: system time 11:21:00, logical clock time 119, remaining message queue size 83
Received a message: system time 11:21:01, logical clock time 126, remaining message queue size 84
Received a message: system time 11:21:02, logical clock time 128, remaining message queue size 89
Received a message: system time 11:21:03, logical clock time 131, remaining message queue size 92
Received a message: system time 11:21:04, logical clock time 134, remaining message queue size 95
Received a message: system time 11:21:05, logical clock time 135, remaining message queue size 98
Received a message: system time 11:21:06, logical clock time 136, remaining message queue size 98
Received a message: system time 11:21:07, logical clock time 144, remaining message queue size 103
Received a message: system time 11:21:08, logical clock time 147, remaining message queue size 104
Received a message: system time 11:21:09, logical clock time 149, remaining message queue size 106
Received a message: system time 11:21:10, logical clock time 150, remaining message queue size 108
Received a message: system time 11:21:11, logical clock time 151, remaining message queue size 112
Received a message: system time 11:21:12, logical clock time 152, remaining message queue size 114
Received a message: system time 11:21:13, logical clock time 155, remaining message queue size 119
Received a message: system time 11:21:14, logical clock time 156, remaining message queue size 123
Received a message: system time 11:21:15, logical clock time 159, remaining message queue size 126
Received a message: system time 11:21:16, logical clock time 160, remaining message queue size 128
Received a message: system time 11:21:17, logical clock time 161, remaining message queue size 129
Received a message: system time 11:21:18, logical clock time 167, remaining message queue size 131
Received a message: system time 11:21:19, logical clock time 168, remaining message queue size 135
