Internal event: system time 11:24:19, logical clock time 1
Received a message: system time 11:24:20, logical clock time 2, remaining message queue size 1
Received a message: system time 11:24:21, logical clock time 6, remaining message queue size 2
Received a message: system time 11:24:22, logical clock time 7, remaining message queue size 3
Received a message: system time 11:24:23, logical clock time 8, remaining message queue size 4
Received a message: system time 11:24:24, logical clock time 13, remaining message queue size 6
Received a message: system time 11:24:25, logical clock time 14, remaining message queue size 6
Received a message: system time 11:24:26, logical clock time 18, remaining message queue size 8
Received a message: system time 11:24:27, logical clock time 20, remaining message queue size 9
Received a message: system time 11:24:28, logical clock time 22, remaining message queue size 11
Received a message: system time 11:24:29, logical clock time 23, remaining message queue size 13
Received a message: system time 11:24:30, logical clock time 24, remaining message queue size 13
Received a message: system time 11:24:31, logical clock time 29, remaining message queue size 13
Received a message: system time 11:24:32, logical clock time 33, remaining message queue size 12
Received a message: system time 11:24:33, logical clock time 35, remaining message queue size 13
Received a message: system time 11:24:34, logical clock time 36, remaining message queue size 14
Received a message: system time 11:24:35, logical clock time 37, remaining message queue size 16
Received a message: system time 11:24:36, logical clock time 39, remaining message queue size 16
Received a message: system time 11:24:37, logical clock time 43, remaining message queue size 17
Received a message: system time 11:24:38, logical clock time 44, remaining message queue size 20
Received a message: system time 11:24:39, logical clock time 45, remaining message queue size 20
Received a message: system time 11:24:40, logical clock time 49, remaining message queue size 21
Received a message: system time 11:24:41, logical clock time 50, remaining message queue size 22
Received a message: system time 11:24:42, logical clock time 51, remaining message queue size 25
Received a message: system time 11:24:43, logical clock time 55, remaining message queue size 26
Received a message: system time 11:24:44, logical clock time 60, remaining message queue size 26
Received a message: system time 11:24:45, logical clock time 68, remaining message queue size 26
Received a message: system time 11:24:46, logical clock time 70, remaining message queue size 25
Received a message: system time 11:24:47, logical clock time 72, remaining message queue size 25
Received a message: system time 11:24:48, logical clock time 73, remaining message queue size 24
Received a message: system time 11:24:49, logical clock time 78, remaining message queue size 26
Received a message: system time 11:24:50, logical clock time 80, remaining message queue size 26
Received a message: system time 11:24:51, logical clock time 81, remaining message queue size 26
Received a message: system time 11:24:52, logical clock time 82, remaining message queue size 26
Received a message: system time 11:24:53, logical clock time 87, remaining message queue size 27
Received a message: system time 11:24:54, logical clock time 90, remaining message queue size 28
Received a message: system time 11:24:55, logical clock time 92, remaining message queue size 29
Received a message: system time 11:24:56, logical clock time 93, remaining message queue size 29
Received a message: system time 11:24:57, logical clock time 94, remaining message queue size 31
Received a message: system time 11:24:58, logical clock time 95, remaining message queue size 31
Received a message: system time 11:24:59, logical clock time 98, remaining message queue size 32
Received a message: system time 11:25:00, logical clock time 100, remaining message queue size 34
Received a message: system time 11:25:01, logical clock time 104, remaining message queue size 34
Received a message: system time 11:25:02, logical clock time 109, remaining message queue size 36
Received a message: system time 11:25:03, logical clock time 111, remaining message queue size 36
Received a message: system time 11:25:04, logical clock time 113, remaining message queue size 38
Received a message: system time 11:25:05, logical clock time 114, remaining message queue size 38
Received a message: system time 11:25:06, logical clock time 115, remaining message queue size 38
Received a message: system time 11:25:07, logical clock time 116, remaining message queue size 38
Received a message: system time 11:25:08, logical clock time 119, remaining message queue size 38
Received a message: system time 11:25:09, logical clock time 120, remaining message queue size 40
Received a message: system time 11:25:10, logical clock time 121, remaining message queue size 41
Received a message: system time 11:25:11, logical clock time 127, remaining message queue size 42
Received a message: system time 11:25:12, logical clock time 138, remaining message queue size 42
Received a message: system time 11:25:13, logical clock time 146, remaining message queue size 42
Received a message: system time 11:25:14, logical clock time 148, remaining message queue size 42
Received a message: system time 11:25:15, logical clock time 150, remaining message queue size 44
Received a message: system time 11:25:16, logical clock time 152, remaining message queue size 46
Received a message: system time 11:25:17, logical clock time 157, remaining message queue size 48
Received a message: system time 11:25:18, logical clock time 165, remaining message queue size 49
Received a message: system time 11:25:19, logical clock time 167, remaining message queue size 49
Received a message: system time 11:25:20, logical clock time 170, remaining message queue size 51
