Internal event: system time 11:09:48, logical clock time 1
Received a message: system time 11:09:49, logical clock time 4, remaining message queue size 0
Received a message: system time 11:09:50, logical clock time 5, remaining message queue size 1
Received a message: system time 11:09:51, logical clock time 7, remaining message queue size 1
Received a message: system time 11:09:52, logical clock time 10, remaining message queue size 2
Received a message: system time 11:09:53, logical clock time 11, remaining message queue size 2
Received a message: system time 11:09:54, logical clock time 13, remaining message queue size 3
Received a message: system time 11:09:55, logical clock time 16, remaining message queue size 4
Received a message: system time 11:09:56, logical clock time 18, remaining message queue size 3
Received a message: system time 11:09:57, logical clock time 19, remaining message queue size 2
Received a message: system time 11:09:58, logical clock time 20, remaining message queue size 2
Received a message: system time 11:09:59, logical clock time 21, remaining message queue size 2
Received a message: system time 11:10:00, logical clock time 32, remaining message queue size 2
Received a message: system time 11:10:01, logical clock time 33, remaining message queue size 1
Received a message: system time 11:10:02, logical clock time 39, remaining message queue size 4
Received a message: system time 11:10:03, logical clock time 43, remaining message queue size 4
Received a message: system time 11:10:04, logical clock time 44, remaining message queue size 4
Received a message: system time 11:10:05, logical clock time 45, remaining message queue size 5
Received a message: system time 11:10:06, logical clock time 46, remaining message queue size 5
Received a message: system time 11:10:07, logical clock time 48, remaining message queue size 5
Received a message: system time 11:10:08, logical clock time 51, remaining message queue size 4
Received a message: system time 11:10:09, logical clock time 53, remaining message queue size 4
Received a message: system time 11:10:10, logical clock time 54, remaining message queue size 4
Received a message: system time 11:10:11, logical clock time 57, remaining message queue size 5
Received a message: system time 11:10:12, logical clock time 62, remaining message queue size 5
Received a message: system time 11:10:13, logical clock time 66, remaining message queue size 6
Received a message: system time 11:10:14, logical clock time 70, remaining message queue size 6
Received a message: system time 11:10:15, logical clock time 74, remaining message queue size 5
Received a message: system time 11:10:16, logical clock time 75, remaining message queue size 4
Received a message: system time 11:10:17, logical clock time 78, remaining message queue size 5
Received a message: system time 11:10:18, logical clock time 80, remaining message queue size 4
Received a message: system time 11:10:19, logical clock time 82, remaining message queue size 5
Received a message: system time 11:10:20, logical clock time 84, remaining message queue size 4
Received a message: system time 11:10:21, logical clock time 93, remaining message queue size 5
Received a message: system time 11:10:22, logical clock time 94, remaining message queue size 4
Received a message: system time 11:10:23, logical clock time 100, remaining message queue size 6
Received a message: system time 11:10:24, logical clock time 101, remaining message queue size 5
Received a message: system time 11:10:25, logical clock time 105, remaining message queue size 5
Received a message: system time 11:10:26, logical clock time 108, remaining message queue size 5
Received a message: system time 11:10:27, logical clock time 113, remaining message queue size 4
Received a message: system time 11:10:28, logical clock time 114, remaining message queue size 4
Received a message: system time 11:10:29, logical clock time 115, remaining message queue size 4
Received a message: system time 11:10:30, logical clock time 121, remaining message queue size 5
Received a message: system time 11:10:31, logical clock time 124, remaining message queue size 5
Received a message: system time 11:10:32, logical clock time 128, remaining message queue size 6
Received a message: system time 11:10:33, logical clock time 133, remaining message queue size 6
Received a message: system time 11:10:34, logical clock time 135, remaining message queue size 6
Received a message: system time 11:10:35, logical clock time 136, remaining message queue size 7
Received a message: system time 11:10:36, logical clock time 140, remaining message queue size 6
Received a message: system time 11:10:37, logical clock time 143, remaining message queue size 6
Received a message: system time 11:10:38, logical clock time 144, remaining message queue size 8
Received a message: system time 11:10:39, logical clock time 147, remaining message queue size 8
Received a message: system time 11:10:40, logical clock time 150, remaining message queue size 7
Received a message: system time 11:10:41, logical clock time 151, remaining message queue size 8
Received a message: system time 11:10:42, logical clock time 152, remaining message queue size 9
Received a message: system time 11:10:43, logical clock time 160, remaining message queue size 8
Received a message: system time 11:10:44, logical clock time 161, remaining message queue size 9
Received a message: system time 11:10:45, logical clock time 162, remaining message queue size 8
Received a message: system time 11:10:46, logical clock time 163, remaining message queue size 7
Received a message: system time 11:10:47, logical clock time 167, remaining message queue size 8
Received a message: system time 11:10:48, logical clock time 170, remaining message queue size 7
Received a message: system time 11:10:49, logical clock time 171, remaining message queue size 7
Received a message: system time 11:10:50, logical clock time 174, remaining message queue size 6
